Наименование НКО,Учетный номер,ОРГН,Форма,Вид отчета,Период,URL
"Представительство корпорации ""Американские Советы по Международному Образованию: АСПРЯЛ/АКСЕЛС, Инк."" в Российской Федерации",0016050091,,Корпорация,СП0003,28.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17549701
"Представительство корпорации ""Американские Советы по Международному Образованию: АСПРЯЛ/АКСЕЛС, Инк."" в Российской Федерации",0016050091,,Корпорация,СП0003,28.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17549501
"Представительство корпорации ""Американские Советы по Международному Образованию: АСПРЯЛ/АКСЕЛС, Инк."" в Российской Федерации",0016050091,,Корпорация,СП0003,28.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17549301
"Представительство корпорации ""Американские Советы по Международному Образованию: АСПРЯЛ/АКСЕЛС, Инк."" в Российской Федерации",0016050091,,Корпорация,СП0003,28.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17548801
"Представительство корпорации ""Американские Советы по Международному Образованию: АСПРЯЛ/АКСЕЛС, Инк."" в Российской Федерации",0016050091,,Корпорация,СП0001,28.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17548701
"Филиал некоммерческой ассоциации ""Медесан сон фронтиер"" (Нидерланды) в Российской Федерации",0016100024,,Ассоциация,СП0001,23.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17539401
"Филиал некоммерческой ассоциации ""Медесан сон фронтиер"" (Нидерланды) в Российской Федерации",0016100024,,Ассоциация,СП0003,23.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17539101
"Филиал некоммерческой ассоциации ""Медесан сон фронтиер"" (Нидерланды) в Российской Федерации",0016100024,,Ассоциация,СП0003,23.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17539001
"Филиал корпорации ""Интернэшнл Медикал Кор"" (США) в Российской Федерации",0016050086,,Корпорация,СП0003,22.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17535201
"Филиал корпорации ""Интернэшнл Медикал Кор"" (США) в Российской Федерации",0016050086,,Корпорация,СП0001,22.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17535101
"Отделение Международной культурно-просветительской организации ""ХАМА"" (Израиль)",0016020045,1027739240451,Организация,СП0002,15.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17522501
Представительство Некоммерческой корпорации Американского Фонда гражданских исследований и развития (США) в Российской Федерации,0016050035,,Корпорация,СП0003,15.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17521901
Представительство Некоммерческой корпорации Американского Фонда гражданских исследований и развития (США) в Российской Федерации,0016050035,,Корпорация,СП0003,15.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17521801
Представительство Некоммерческой корпорации Американского Фонда гражданских исследований и развития (США) в Российской Федерации,0016050035,,Корпорация,СП0003,15.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17521701
Представительство Некоммерческой корпорации Американского Фонда гражданских исследований и развития (США) в Российской Федерации,0016050035,,Корпорация,СП0001,15.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17521501
Представительство Некоммерческой корпорации Американского Фонда гражданских исследований и развития (США) в Российской Федерации,0016050035,,Корпорация,СП0003,15.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17521401
"Представительство Корпорации ""Кидсейв Интернейшнл"" (США) в Российской Федерации",0016050054,,Корпорация,СП0003,14.10.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17519601
"Представительство Корпорации ""Ньюклиа Трит Инишиэйтив, Инк"", США, В Российской Федерации",0016050052,,Корпорация,СП0001,31.07.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17280301
"Представительство организации ""Право на здоровье"" (США) в Росийской Федерации",0016050104,,Корпорация,СП0001,29.07.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17273201
"Представительство Корпорации ""Кидсейв Интернейшнл"" (США) в Российской Федерации",0016050054,,Корпорация,СП0001,29.07.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17273101
"Представительство Корпорации ""Американский Центр по Образованию и Тестированию, Инк."" в Россиской Федерации",0016050092,,Корпорация,СП0001,29.07.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17272201
"Филиал Ассоциации ""Врачи Без Границ"" (Франция) в Российской Федерации",0016100043,,Ассоциация,СП0001,23.07.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17254101
"Филиал корпорации ""Интернэшнл Медикал Кор"" (США) в Российской Федерации",0016050086,,Корпорация,СП0001,17.07.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17231401
"Представительство корпорации ""Американские Советы по Международному Образованию: АСПРЯЛ/АКСЕЛС, Инк."" в Российской Федерации",0016050091,,Корпорация,СП0001,17.07.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17229301
"Представительство корпорации ""Американские Советы по Международному Образованию: АСПРЯЛ/АКСЕЛС, Инк."" в Российской Федерации",0016050091,,Корпорация,СП0003,17.07.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17229201
Представительство Некоммерческой корпорации Американского Фонда гражданских исследований и развития (США) в Российской Федерации,0016050035,,Корпорация,СП0001,16.07.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17225401
"Филиал некоммерческой ассоциации ""Медесан сон фронтиер"" (Нидерланды) в Российской Федерации",0016100024,,Ассоциация,СП0001,10.07.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17200901
Представительство Национального исследовательского фонда  Кореи (Республика Корея)  в Российской Федерации,0016040031,,Фонд,СП0002,09.07.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17196701
Представительство Национального исследовательского фонда  Кореи (Республика Корея)  в Российской Федерации,0016040031,,Фонд,СП0001,09.07.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17196601
"Филиал Объединения ""Пенал Реформ Интернешнл"" в Российской Федерации (Нидерланды)",0016020097,,Организация,СП0001,09.07.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=17195301
"Представительство Корпорации ""Американский Центр по Образованию и Тестированию, Инк."" в Россиской Федерации",0016050092,,Корпорация,СП0001,29.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16783201
"Филиал некоммерческой ассоциации ""Медесан сон фронтиер"" (Нидерланды) в Российской Федерации",0016100024,,Ассоциация,СП0001,24.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16730301
Представительство Некоммерческой корпорации Американского Фонда гражданских исследований и развития (США) в Российской Федерации,0016050035,,Корпорация,СП0001,17.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16601201
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16389101
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16387401
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16385501
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16383301
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16381401
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16379001
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16378601
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16375501
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16373801
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0003,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16372601
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0002,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16368401
"Филиал объединения ""Конрад-Аденауэр-Штифтунг е.Ф."" (Германия) в Российской Федерации, Москва",0016020127,,Организация,СП0001,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16364601
"Филиал Объединения ""Пенал Реформ Интернешнл"" в Российской Федерации (Нидерланды)",0016020097,,Организация,СП0001,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16294001
Представительство Экономического клуба Россия в г. Москва,0016020135,,Организация,СП0003,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16235801
Представительство Экономического клуба Россия в г. Москва,0016020135,,Организация,СП0002,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16235201
Представительство Экономического клуба Россия в г. Москва,0016020135,,Организация,СП0001,15.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=16234501
"Представительство Корпорации ""Кидсейв Интернейшнл"" (США) в Российской Федерации",0016050054,,Корпорация,СП0001,13.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=15904001
"Представительство Корпорации ""Кидсейв Интернейшнл"" (США) в Российской Федерации",0016050054,,Корпорация,СП0002,13.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=15903001
"Представительство организации ""Право на здоровье"" (США) в Росийской Федерации",0016050104,,Корпорация,СП0002,12.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=15812601
"Представительство организации ""Право на здоровье"" (США) в Росийской Федерации",0016050104,,Корпорация,СП0001,12.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=15811901
"Представительство корпорации ""Американские Советы по Международному Образованию: АСПРЯЛ/АКСЕЛС, Инк."" в Российской Федерации",0016050091,,Корпорация,СП0002,12.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=15790301
"Филиал Ассоциации ""Врачи Без Границ"" (Франция) в Российской Федерации",0016100043,,Ассоциация,СП0002,12.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=15610701
"Филиал Ассоциации ""Врачи Без Границ"" (Франция) в Российской Федерации",0016100043,,Ассоциация,СП0001,12.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=15603501
"Представительство корпорации ""Американские Советы по Международному Образованию: АСПРЯЛ/АКСЕЛС, Инк."" в Российской Федерации",0016050091,,Корпорация,СП0001,11.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=15457501
"Представительство некоммерческой корпорация ""Прожект Хармони, Инк."" (США) в Российской Федерации",0016050030,,Корпорация,СП0002,09.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=14931001
Представительство Национального исследовательского фонда  Кореи (Республика Корея)  в Российской Федерации,0016040031,,Фонд,СП0001,05.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=14538401
"Филиал Объединения ""Пенал Реформ Интернешнл"" в Российской Федерации (Нидерланды)",0016020097,,Организация,СП0003,04.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=14464101
"Филиал Объединения ""Пенал Реформ Интернешнл"" в Российской Федерации (Нидерланды)",0016020097,,Организация,СП0003,04.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=14463201
